asset,agency,check,outcome,affected,population,example,info
loc-languages,Library of Congress,SAR-L04,passed,0,486,,S9: skos:ConceptScheme is disjoint with skos:Concept
loc-languages,Library of Congress,SAR-L05,passed,0,485,,"S13: prefLabel, altLabel and hiddenLabel are pairwise disjoint"
loc-languages,Library of Congress,SAR-L06,passed,0,485,,S14: no more than one prefLabel per language tag
loc-languages,Library of Congress,SAR-L07,passed,0,0,,S27: skos:related is disjoint with skos:broaderTransitive
loc-languages,Library of Congress,SAR-L08,passed,0,0,,S37: skos:Collection is disjoint with skos:Concept and skos:ConceptScheme
loc-languages,Library of Congress,SAR-L09,passed,0,0,,S46: skos:exactMatch is disjoint with skos:broadMatch and skos:relatedMatch
loc-languages,Library of Congress,SAR-D01,passed,0,485,,
loc-languages,Library of Congress,SAR-D02,failed,485,485,http://id.loc.gov/vocabulary/languages/mga,
loc-languages,Library of Congress,SAR-D03,passed,0,1,,"1/1 titled, 1/1 described"
loc-languages,Library of Congress,SAR-G01,failed,,,,"no dcterms:license, dcterms:rights, dc:rights or cc:license triple anywhere in the payload"
loc-languages,Library of Congress,SAR-G02,failed,,,,"no owl:versionIRI, owl:versionInfo or dated metadata"
loc-languages,Library of Congress,SAR-G03,failed,,,,no publisher or creator named in the payload
loc-languages,Library of Congress,SAR-S01,inapplicable,,,,no deprecated terms declared
loc-languages,Library of Congress,SAR-S02,inapplicable,,,,no deprecated terms declared
loc-languages,Library of Congress,SAR-I01,passed,17,,http://id.loc.gov/ontologies/RecordInfo#RecordInfo,17 distinct external vocabulary terms referenced
loc-languages,Library of Congress,SAR-I02,passed,0,17,,0 of 17 referenced external terms did not resolve
loc-languages,Library of Congress,SAR-L01,inapplicable,,,,asset is not an OWL ontology
loc-languages,Library of Congress,SAR-L02,inapplicable,,,,asset is not an OWL ontology
loc-languages,Library of Congress,SAR-L03,inapplicable,,,,asset is not an OWL ontology
loc-geographicareas,Library of Congress,SAR-R01,passed,,,,HTTP 200
loc-geographicareas,Library of Congress,SAR-R02,passed,,,,HTTP 200
loc-geographicareas,Library of Congress,SAR-R03,passed,,,,served application/rdf+xml under an RDF Accept header
loc-geographicareas,Library of Congress,SAR-R04,passed,,,,plain HTTP redirects to HTTPS
loc-geographicareas,Library of Congress,SAR-P03,passed,,,,
loc-geographicareas,Library of Congress,SAR-P01,passed,,291,,parsed 291 triples as xml
loc-geographicareas,Library of Congress,SAR-P02,passed,,,,"declared application/rdf+xml (xml), parsed as xml"
loc-geographicareas,Library of Congress,SAR-L04,passed,0,31,,S9: skos:ConceptScheme is disjoint with skos:Concept
loc-geographicareas,Library of Congress,SAR-L05,passed,0,30,,"S13: prefLabel, altLabel and hiddenLabel are pairwise disjoint"
loc-geographicareas,Library of Congress,SAR-L06,passed,0,30,,S14: no more than one prefLabel per language tag
loc-geographicareas,Library of Congress,SAR-L07,passed,0,0,,S27: skos:related is disjoint with skos:broaderTransitive
loc-geographicareas,Library of Congress,SAR-L08,passed,0,0,,S37: skos:Collection is disjoint with skos:Concept and skos:ConceptScheme
loc-geographicareas,Library of Congress,SAR-L09,passed,0,0,,S46: skos:exactMatch is disjoint with skos:broadMatch and skos:relatedMatch
loc-geographicareas,Library of Congress,SAR-D01,passed,0,30,,
loc-geographicareas,Library of Congress,SAR-D02,failed,30,30,http://id.loc.gov/vocabulary/geographicAreas/s,
loc-geographicareas,Library of Congress,SAR-D03,passed,0,1,,"1/1 titled, 1/1 described"
loc-geographicareas,Library of Congress,SAR-G01,failed,,,,"no dcterms:license, dcterms:rights, dc:rights or cc:license triple anywhere in the payload"
loc-geographicareas,Library of Congress,SAR-G02,failed,,,,"no owl:versionIRI, owl:versionInfo or dated metadata"
loc-geographicareas,Library of Congress,SAR-G03,failed,,,,no publisher or creator named in the payload
loc-geographicareas,Library of Congress,SAR-S01,inapplicable,,,,no deprecated terms declared
loc-geographicareas,Library of Congress,SAR-S02,inapplicable,,,,no deprecated terms declared
loc-geographicareas,Library of Congress,SAR-I01,passed,17,,http://id.loc.gov/ontologies/RecordInfo#RecordInfo,17 distinct external vocabulary terms referenced
loc-geographicareas,Library of Congress,SAR-I02,passed,0,17,,0 of 17 referenced external terms did not resolve
loc-geographicareas,Library of Congress,SAR-L01,inapplicable,,,,asset is not an OWL ontology
loc-geographicareas,Library of Congress,SAR-L02,inapplicable,,,,asset is not an OWL ontology
loc-geographicareas,Library of Congress,SAR-L03,inapplicable,,,,asset is not an OWL ontology
loc-iso639-2,Library of Congress,SAR-R01,passed,,,,HTTP 200
loc-iso639-2,Library of Congress,SAR-R02,passed,,,,HTTP 200
loc-iso639-2,Library of Congress,SAR-R03,passed,,,,served application/rdf+xml under an RDF Accept header
loc-iso639-2,Library of Congress,SAR-R04,passed,,,,plain HTTP redirects to HTTPS
loc-iso639-2,Library of Congress,SAR-P03,passed,,,,
loc-iso639-2,Library of Congress,SAR-P01,passed,,8580,,parsed 8580 triples as xml
loc-iso639-2,Library of Congress,SAR-P02,passed,,,,"declared application/rdf+xml (xml), parsed as xml"
loc-iso639-2,Library of Congress,SAR-L04,passed,0,508,,S9: skos:ConceptScheme is disjoint with skos:Concept
loc-iso639-2,Library of Congress,SAR-L05,passed,0,507,,"S13: prefLabel, altLabel and hiddenLabel are pairwise disjoint"
loc-iso639-2,Library of Congress,SAR-L06,failed,507,507,http://id.loc.gov/vocabulary/iso639-2/jrb,S14: no more than one prefLabel per language tag
loc-iso639-2,Library of Congress,SAR-L07,passed,0,0,,S27: skos:related is disjoint with skos:broaderTransitive
loc-iso639-2,Library of Congress,SAR-L08,passed,0,0,,S37: skos:Collection is disjoint with skos:Concept and skos:ConceptScheme
loc-iso639-2,Library of Congress,SAR-L09,passed,0,0,,S46: skos:exactMatch is disjoint with skos:broadMatch and skos:relatedMatch
loc-iso639-2,Library of Congress,SAR-D01,passed,0,507,,
loc-iso639-2,Library of Congress,SAR-D02,failed,507,507,http://id.loc.gov/vocabulary/iso639-2/jrb,
loc-iso639-2,Library of Congress,SAR-D03,passed,0,1,,"1/1 titled, 1/1 described"
loc-iso639-2,Library of Congress,SAR-G01,failed,,,,"no dcterms:license, dcterms:rights, dc:rights or cc:license triple anywhere in the payload"
loc-iso639-2,Library of Congress,SAR-G02,failed,,,,"no owl:versionIRI, owl:versionInfo or dated metadata"
loc-iso639-2,Library of Congress,SAR-G03,failed,,,,no publisher or creator named in the payload
loc-iso639-2,Library of Congress,SAR-S01,inapplicable,,,,no deprecated terms declared
loc-iso639-2,Library of Congress,SAR-S02,inapplicable,,,,no deprecated terms declared
loc-iso639-2,Library of Congress,SAR-I01,passed,5,,http://www.loc.gov/mads/rdf/v1#Language,5 distinct external vocabulary terms referenced
loc-iso639-2,Library of Congress,SAR-I02,passed,0,5,,"0 of 5 referenced external terms did not resolve; 1 referenced namespace(s) are not absolute HTTP URIs, e.g. //www.loc.gov/mads/rdf/v1#"
loc-iso639-2,Library of Congress,SAR-L01,inapplicable,,,,asset is not an OWL ontology
loc-iso639-2,Library of Congress,SAR-L02,inapplicable,,,,asset is not an OWL ontology
loc-iso639-2,Library of Congress,SAR-L03,inapplicable,,,,asset is not an OWL ontology
loc-iso639-5,Library of Congress,SAR-R01,passed,,,,HTTP 200
loc-iso639-5,Library of Congress,SAR-R02,passed,,,,HTTP 200
loc-iso639-5,Library of Congress,SAR-R03,passed,,,,served application/rdf+xml under an RDF Accept header
loc-iso639-5,Library of Congress,SAR-R04,passed,,,,plain HTTP redirects to HTTPS
loc-iso639-5,Library of Congress,SAR-P03,passed,,,,
loc-iso639-5,Library of Congress,SAR-P01,passed,,333,,parsed 333 triples as xml
loc-iso639-5,Library of Congress,SAR-P02,passed,,,,"declared application/rdf+xml (xml), parsed as xml"
loc-iso639-5,Library of Congress,SAR-L04,passed,0,27,,S9: skos:ConceptScheme is disjoint with skos:Concept
loc-iso639-5,Library of Congress,SAR-L05,passed,0,26,,"S13: prefLabel, altLabel and hiddenLabel are pairwise disjoint"
loc-iso639-5,Library of Congress,SAR-L06,passed,0,26,,S14: no more than one prefLabel per language tag
loc-iso639-5,Library of Congress,SAR-L07,passed,0,0,,S27: skos:related is disjoint with skos:broaderTransitive
loc-iso639-5,Library of Congress,SAR-L08,passed,0,0,,S37: skos:Collection is disjoint with skos:Concept and skos:ConceptScheme
loc-iso639-5,Library of Congress,SAR-L09,passed,0,0,,S46: skos:exactMatch is disjoint with skos:broadMatch and skos:relatedMatch
loc-iso639-5,Library of Congress,SAR-D01,passed,0,26,,
loc-iso639-5,Library of Congress,SAR-D02,failed,26,26,http://id.loc.gov/vocabulary/iso639-5/jpx,
loc-iso639-5,Library of Congress,SAR-D03,passed,0,1,,"1/1 titled, 1/1 described"
loc-iso639-5,Library of Congress,SAR-G01,failed,,,,"no dcterms:license, dcterms:rights, dc:rights or cc:license triple anywhere in the payload"
loc-iso639-5,Library of Congress,SAR-G02,failed,,,,"no owl:versionIRI, owl:versionInfo or dated metadata"
loc-iso639-5,Library of Congress,SAR-G03,failed,,,,no publisher or creator named in the payload
loc-iso639-5,Library of Congress,SAR-S01,inapplicable,,,,no deprecated terms declared
loc-iso639-5,Library of Congress,SAR-S02,inapplicable,,,,no deprecated terms declared
loc-iso639-5,Library of Congress,SAR-I01,passed,17,,http://id.loc.gov/ontologies/RecordInfo#RecordInfo,17 distinct external vocabulary terms referenced
loc-iso639-5,Library of Congress,SAR-I02,passed,0,17,,0 of 17 referenced external terms did not resolve
loc-iso639-5,Library of Congress,SAR-L01,inapplicable,,,,asset is not an OWL ontology
loc-iso639-5,Library of Congress,SAR-L02,inapplicable,,,,asset is not an OWL ontology
loc-iso639-5,Library of Congress,SAR-L03,inapplicable,,,,asset is not an OWL ontology
loc-preservation,Library of Congress,SAR-R01,passed,,,,HTTP 200
loc-preservation,Library of Congress,SAR-R02,passed,,,,HTTP 200
loc-preservation,Library of Congress,SAR-R03,passed,,,,served application/rdf+xml under an RDF Accept header
loc-preservation,Library of Congress,SAR-R04,passed,,,,plain HTTP redirects to HTTPS
loc-preservation,Library of Congress,SAR-P03,passed,,,,
loc-preservation,Library of Congress,SAR-P01,passed,,152,,parsed 152 triples as xml
loc-preservation,Library of Congress,SAR-P02,passed,,,,"declared application/rdf+xml (xml), parsed as xml"
loc-preservation,Library of Congress,SAR-L04,passed,0,31,,S9: skos:ConceptScheme is disjoint with skos:Concept
loc-preservation,Library of Congress,SAR-L05,passed,0,0,,"S13: prefLabel, altLabel and hiddenLabel are pairwise disjoint"
loc-preservation,Library of Congress,SAR-L06,passed,0,0,,S14: no more than one prefLabel per language tag
loc-preservation,Library of Congress,SAR-L07,passed,0,0,,S27: skos:related is disjoint with skos:broaderTransitive
loc-preservation,Library of Congress,SAR-L08,passed,0,0,,S37: skos:Collection is disjoint with skos:Concept and skos:ConceptScheme
loc-preservation,Library of Congress,SAR-L09,passed,0,0,,S46: skos:exactMatch is disjoint with skos:broadMatch and skos:relatedMatch
loc-preservation,Library of Congress,SAR-D01,cantTell,,,,no terms found in the asset's declared namespace
loc-preservation,Library of Congress,SAR-D02,cantTell,,,,no terms found in the asset's declared namespace
loc-preservation,Library of Congress,SAR-D03,passed,30,31,http://id.loc.gov/vocabulary/preservation/copyrightStatus,"1/31 titled, 1/31 described"
loc-preservation,Library of Congress,SAR-G01,failed,,,,"no dcterms:license, dcterms:rights, dc:rights or cc:license triple anywhere in the payload"
loc-preservation,Library of Congress,SAR-G02,failed,,,,"no owl:versionIRI, owl:versionInfo or dated metadata"
loc-preservation,Library of Congress,SAR-G03,failed,,,,no publisher or creator named in the payload
loc-preservation,Library of Congress,SAR-S01,inapplicable,,,,no deprecated terms declared
loc-preservation,Library of Congress,SAR-S02,inapplicable,,,,no deprecated terms declared
loc-preservation,Library of Congress,SAR-I01,passed,13,,http://id.loc.gov/ontologies/RecordInfo#RecordInfo,13 distinct external vocabulary terms referenced
loc-preservation,Library of Congress,SAR-I02,passed,0,13,,0 of 13 referenced external terms did not resolve
loc-preservation,Library of Congress,SAR-L01,inapplicable,,,,asset is not an OWL ontology
loc-preservation,Library of Congress,SAR-L02,inapplicable,,,,asset is not an OWL ontology
loc-preservation,Library of Congress,SAR-L03,inapplicable,,,,asset is not an OWL ontology
loc-carriers,Library of Congress,SAR-R01,passed,,,,HTTP 200
loc-carriers,Library of Congress,SAR-R02,passed,,,,HTTP 200
loc-carriers,Library of Congress,SAR-R03,passed,,,,served application/rdf+xml under an RDF Accept header
loc-carriers,Library of Congress,SAR-R04,passed,,,,plain HTTP redirects to HTTPS
loc-carriers,Library of Congress,SAR-P03,passed,,,,
loc-carriers,Library of Congress,SAR-P01,passed,,247,,parsed 247 triples as xml
loc-carriers,Library of Congress,SAR-P02,passed,,,,"declared application/rdf+xml (xml), parsed as xml"
loc-carriers,Library of Congress,SAR-L04,passed,0,1,,S9: skos:ConceptScheme is disjoint with skos:Concept
loc-carriers,Library of Congress,SAR-L05,passed,0,0,,"S13: prefLabel, altLabel and hiddenLabel are pairwise disjoint"
loc-carriers,Library of Congress,SAR-L06,passed,0,0,,S14: no more than one prefLabel per language tag
loc-carriers,Library of Congress,SAR-L07,passed,0,0,,S27: skos:related is disjoint with skos:broaderTransitive
loc-carriers,Library of Congress,SAR-L08,passed,0,0,,S37: skos:Collection is disjoint with skos:Concept and skos:ConceptScheme
loc-carriers,Library of Congress,SAR-L09,passed,0,0,,S46: skos:exactMatch is disjoint with skos:broadMatch and skos:relatedMatch
loc-carriers,Library of Congress,SAR-D01,cantTell,,,,no terms found in the asset's declared namespace
loc-carriers,Library of Congress,SAR-D02,cantTell,,,,no terms found in the asset's declared namespace
loc-carriers,Library of Congress,SAR-D03,passed,0,1,,"1/1 titled, 1/1 described"
loc-carriers,Library of Congress,SAR-G01,failed,,,,"no dcterms:license, dcterms:rights, dc:rights or cc:license triple anywhere in the payload"
loc-carriers,Library of Congress,SAR-G02,failed,,,,"no owl:versionIRI, owl:versionInfo or dated metadata"
loc-carriers,Library of Congress,SAR-G03,failed,,,,no publisher or creator named in the payload
loc-carriers,Library of Congress,SAR-S01,inapplicable,,,,no deprecated terms declared
loc-carriers,Library of Congress,SAR-S02,inapplicable,,,,no deprecated terms declared
loc-carriers,Library of Congress,SAR-I01,passed,17,,http://id.loc.gov/ontologies/RecordInfo#RecordInfo,17 distinct external vocabulary terms referenced
loc-carriers,Library of Congress,SAR-I02,failed,1,17,http://www.loc.gov/mads/rdf/v1#hasMADSSchemeMember,1 of 17 referenced external terms did not resolve
loc-carriers,Library of Congress,SAR-L01,inapplicable,,,,asset is not an OWL ontology
loc-carriers,Library of Congress,SAR-L02,inapplicable,,,,asset is not an OWL ontology
loc-carriers,Library of Congress,SAR-L03,inapplicable,,,,asset is not an OWL ontology
loc-contentTypes,Library of Congress,SAR-R01,passed,,,,HTTP 200
loc-contentTypes,Library of Congress,SAR-R02,passed,,,,HTTP 200
loc-contentTypes,Library of Congress,SAR-R03,passed,,,,served application/rdf+xml under an RDF Accept header
loc-contentTypes,Library of Congress,SAR-R04,passed,,,,plain HTTP redirects to HTTPS
loc-contentTypes,Library of Congress,SAR-P03,passed,,,,
loc-contentTypes,Library of Congress,SAR-P01,passed,,171,,parsed 171 triples as xml
loc-contentTypes,Library of Congress,SAR-P02,passed,,,,"declared application/rdf+xml (xml), parsed as xml"
loc-contentTypes,Library of Congress,SAR-L04,passed,0,1,,S9: skos:ConceptScheme is disjoint with skos:Concept
loc-contentTypes,Library of Congress,SAR-L05,passed,0,0,,"S13: prefLabel, altLabel and hiddenLabel are pairwise disjoint"
loc-contentTypes,Library of Congress,SAR-L06,passed,0,0,,S14: no more than one prefLabel per language tag
loc-contentTypes,Library of Congress,SAR-L07,passed,0,0,,S27: skos:related is disjoint with skos:broaderTransitive
loc-contentTypes,Library of Congress,SAR-L08,passed,0,0,,S37: skos:Collection is disjoint with skos:Concept and skos:ConceptScheme
loc-contentTypes,Library of Congress,SAR-L09,passed,0,0,,S46: skos:exactMatch is disjoint with skos:broadMatch and skos:relatedMatch
loc-contentTypes,Library of Congress,SAR-D01,failed,24,24,http://id.loc.gov/vocabulary/contentTypes/snd,
loc-contentTypes,Library of Congress,SAR-D02,failed,24,24,http://id.loc.gov/vocabulary/contentTypes/snd,
loc-contentTypes,Library of Congress,SAR-D03,passed,0,1,,"1/1 titled, 1/1 described"
loc-contentTypes,Library of Congress,SAR-G01,failed,,,,"no dcterms:license, dcterms:rights, dc:rights or cc:license triple anywhere in the payload"
loc-contentTypes,Library of Congress,SAR-G02,failed,,,,"no owl:versionIRI, owl:versionInfo or dated metadata"
loc-contentTypes,Library of Congress,SAR-G03,failed,,,,no publisher or creator named in the payload
loc-contentTypes,Library of Congress,SAR-S01,inapplicable,,,,no deprecated terms declared
loc-contentTypes,Library of Congress,SAR-S02,inapplicable,,,,no deprecated terms declared
loc-contentTypes,Library of Congress,SAR-I01,passed,18,,http://bibframe.org/vocab/Category,18 distinct external vocabulary terms referenced
loc-contentTypes,Library of Congress,SAR-I02,failed,1,18,http://www.loc.gov/mads/rdf/v1#hasMADSSchemeMember,1 of 18 referenced external terms did not resolve
loc-contentTypes,Library of Congress,SAR-L01,failed,2,,,outside OWL 2 DL: OWL 2 DL Profile Report: Ontology and imports closure NOT in profile. The following violations are present:
loc-contentTypes,Library of Congress,SAR-L02,cantTell,,,,reasoner exited 1: ONTOLOGY STORAGE ERROR Could not save ontology to IRI: file:/Users/fabio/projects/semantic-asset-register/data/work/loc-contentTypes-reasoned.owl
loc-contentTypes,Library of Congress,SAR-L03,cantTell,,,,reasoner exited 1
loc-mediaTypes,Library of Congress,SAR-R01,passed,,,,HTTP 200
loc-mediaTypes,Library of Congress,SAR-R02,passed,,,,HTTP 200
loc-mediaTypes,Library of Congress,SAR-R03,passed,,,,served application/rdf+xml under an RDF Accept header
loc-mediaTypes,Library of Congress,SAR-R04,passed,,,,plain HTTP redirects to HTTPS
loc-mediaTypes,Library of Congress,SAR-P03,passed,,,,
loc-mediaTypes,Library of Congress,SAR-P01,passed,,83,,parsed 83 triples as xml
loc-mediaTypes,Library of Congress,SAR-P02,passed,,,,"declared application/rdf+xml (xml), parsed as xml"
loc-mediaTypes,Library of Congress,SAR-L04,passed,0,1,,S9: skos:ConceptScheme is disjoint with skos:Concept
loc-mediaTypes,Library of Congress,SAR-L05,passed,0,0,,"S13: prefLabel, altLabel and hiddenLabel are pairwise disjoint"
loc-mediaTypes,Library of Congress,SAR-L06,passed,0,0,,S14: no more than one prefLabel per language tag
loc-mediaTypes,Library of Congress,SAR-L07,passed,0,0,,S27: skos:related is disjoint with skos:broaderTransitive
loc-mediaTypes,Library of Congress,SAR-L08,passed,0,0,,S37: skos:Collection is disjoint with skos:Concept and skos:ConceptScheme
loc-mediaTypes,Library of Congress,SAR-L09,passed,0,0,,S46: skos:exactMatch is disjoint with skos:broadMatch and skos:relatedMatch
loc-mediaTypes,Library of Congress,SAR-D01,failed,10,10,http://id.loc.gov/vocabulary/mediaTypes/h,
loc-mediaTypes,Library of Congress,SAR-D02,failed,10,10,http://id.loc.gov/vocabulary/mediaTypes/h,
loc-mediaTypes,Library of Congress,SAR-D03,passed,0,1,,"1/1 titled, 1/1 described"
loc-mediaTypes,Library of Congress,SAR-G01,failed,,,,"no dcterms:license, dcterms:rights, dc:rights or cc:license triple anywhere in the payload"
loc-mediaTypes,Library of Congress,SAR-G02,failed,,,,"no owl:versionIRI, owl:versionInfo or dated metadata"
loc-mediaTypes,Library of Congress,SAR-G03,failed,,,,no publisher or creator named in the payload
loc-mediaTypes,Library of Congress,SAR-S01,inapplicable,,,,no deprecated terms declared
loc-mediaTypes,Library of Congress,SAR-S02,inapplicable,,,,no deprecated terms declared
loc-mediaTypes,Library of Congress,SAR-I01,passed,18,,http://bibframe.org/vocab/Category,18 distinct external vocabulary terms referenced
loc-mediaTypes,Library of Congress,SAR-I02,failed,1,18,http://www.loc.gov/mads/rdf/v1#hasMADSSchemeMember,1 of 18 referenced external terms did not resolve
loc-mediaTypes,Library of Congress,SAR-L01,failed,2,,,outside OWL 2 DL: OWL 2 DL Profile Report: Ontology and imports closure NOT in profile. The following violations are present:
loc-mediaTypes,Library of Congress,SAR-L02,cantTell,,,,reasoner exited 1: ONTOLOGY STORAGE ERROR Could not save ontology to IRI: file:/Users/fabio/projects/semantic-asset-register/data/work/loc-mediaTypes-reasoned.owl
loc-mediaTypes,Library of Congress,SAR-L03,cantTell,,,,reasoner exited 1
loc-graphicMaterials,Library of Congress,SAR-R01,passed,,,,HTTP 200
loc-graphicMaterials,Library of Congress,SAR-R02,passed,,,,HTTP 200
loc-graphicMaterials,Library of Congress,SAR-R03,passed,,,,served application/rdf+xml under an RDF Accept header
loc-graphicMaterials,Library of Congress,SAR-R04,passed,,,,plain HTTP redirects to HTTPS
loc-graphicMaterials,Library of Congress,SAR-P03,passed,,,,
loc-graphicMaterials,Library of Congress,SAR-P01,passed,,23716,,parsed 23716 triples as xml
loc-graphicMaterials,Library of Congress,SAR-P02,passed,,,,"declared application/rdf+xml (xml), parsed as xml"
loc-graphicMaterials,Library of Congress,SAR-L04,inapplicable,,,,asset declares no SKOS concepts or schemes
loc-graphicMaterials,Library of Congress,SAR-L05,inapplicable,,,,asset declares no SKOS concepts or schemes
loc-graphicMaterials,Library of Congress,SAR-L06,inapplicable,,,,asset declares no SKOS concepts or schemes
loc-graphicMaterials,Library of Congress,SAR-L07,inapplicable,,,,asset declares no SKOS concepts or schemes
loc-graphicMaterials,Library of Congress,SAR-L08,inapplicable,,,,asset declares no SKOS concepts or schemes
loc-graphicMaterials,Library of Congress,SAR-L09,inapplicable,,,,asset declares no SKOS concepts or schemes
loc-graphicMaterials,Library of Congress,SAR-D01,cantTell,,,,no terms found in the asset's declared namespace
loc-graphicMaterials,Library of Congress,SAR-D02,cantTell,,,,no terms found in the asset's declared namespace
loc-graphicMaterials,Library of Congress,SAR-D03,failed,,,,no owl:Ontology or skos:ConceptScheme resource declared
